iter	Logloss
220	0.3450301563
221	0.3447216304
222	0.34222	0.329223	0.3223	0.3291224	0.3224	0.3287225	0.3225	0.3283226	0.3226	0.3281227	0.3227	0.3279228	0.3228	0.327229	0.34229	0.32230	0.341230	0.32231	0.340231	0.32232	0.340232	0.32233	0.340233	0.3257173175
234	0.32235	0.339235	0.32236	0.338236	0.32237	0.338237	0.32238	0.33238	0.324239	0.3378628523
240	0.33240	0.323241	0.3241	0.3233242	0.3242	0.3229281971
243	0.3225244	0.3244	0.321954342
245	0.321640555
246	0.3214388147
247	0.3211514049
248	0.320792999
249	0.3204298981
250	0.3201515956
251	0.31982229
252	0.3195244685
253	0.3192454278
254	0.3189116689
255	0.3184965127
256	0.3181133959
257	0.3179857268
258	0.317688253
259	0.3170983796
260	0.3167397057
261	0.3164011266
262	0.315969925
263	0.3156435196
264	0.3153737978
265	0.315113579
266	0.314973256
267	0.3146770655
268	0.3143302349
269	0.3140185037
270	0.313864188
271	0.3136026579
272	0.3134283303
273	0.3131060566
274	0.3128615361
275	0.3124979688
276	0.3121231337
277	0.3117471177
278	0.311330525
279	0.3109509956
280	0.3105119395
281	0.3102664125
282	0.3099643594
283	0.3096773634
284	0.3092094591
285	0.3090075444
286	0.3088449365
287	0.3085987001
288	0.3081629912
289	0.3079489563
290	0.3077701578
291	0.3076318838
292	0.3072426426
293	0.3068524417
294	0.3065968878
295	0.3063727921
296	0.3059062455
297	0.3055123548
298	0.305286123
299	0.3050470801
300	0.3048538779
301	0.3046693492
302	0.3043793432
303	0.304046644
304	0.3038428246
305	0.3034694102
306	0.3032351205
307	0.3030340211
308	0.3028384239
309	0.3025042551
310	0.3022883271
311	0.3020121708
312	0.3018434462
313	0.3015992514
314	0.3013883502
315	0.3009376576
316	0.3005067603
317	0.3002219606
318	0.2999298468
319	0.2996022002
320	0.2992031465
321	0.2990140606
322	0.2988014891
323	0323	0.311696324	0324	0.311432325	0325	0.311161326	0326	0.310955327	0327	0.310586328	0328	0.310172329	0329	0.309748330	0330	0.309526331	0331	0.309328332	0332	0.309141333	0333	0.308951334	0334	0.308813335	0335	0.308648336	0336	0.3081080874
337	0.307809338	0338	0.3076007483
339	0.307458134
340	0.3071915386
341	0.306985246
342	0.3066967139
343	0.3061818462
344	0.3059559656
345	0.3054645274
346	0.3051505289
347	0.3050414153
348	0.3048826992
349	0.3046675162
350	0.30437351	0.351	0.30401352	0.352	0.30373353	0.353	0.30358354	0.354	0.30342355	0.355	0.30325356	0.356	0.30309357	0.357	0.30292358	0.358	0.30274359	0.359	0.30259360	0.360	0.30248361	0.361	0.30235362	0.2898852985
363	0.363	0.30192364	0.364	0.30171365	0.365	0.30141366	0.2886453143
367	0.2884333775
368	0.2882284294
369	0.2880169577
370	0370	0.3006371	0.371	0.30039372	0.287311898
373	0.2869988982
374	0.2867184313
375	0.2866149256
376	0.2862636543
377	0.2859152687
378	0.2857292714
379	0.2856417293
380	0.2854976177
381	0.2852187852
382	0.285036263
383	0.2849306118
384	0.2846008098
385	0.2844091451
386	0.2842127962
387	0.2840356208
388	0.2838259876
389	0.2836217564
390390	0.28652073391391	0.28607574392392	0.2859470393	393	0.2857935394	394	0.2854940395	395	0.2853091747
396	0.284876397	0397	0.28469398	0.398	0.2843859554
399	0.2841993415
400	0.28411401	0.401	0.284003554
402	0.2838102954
403	0.2836017079
404	0.2833888247
405	0.2831476715
406	0.2829426962
407	0.28282408	0.408	0.28271409	0.409	0.28247410	0.410	0.28235411	411	0.2821792412	412	0.281936413	0413	0.281707414	0414	0.281434415	0415	0.281086416	0416	0.280908417	0417	0.280793418	0418	0.280484419	0419	0.280181420	0.2778308338
421	0.277598374
422	0.2774379266
423	0.2772595211
424	0.2770967379
425	0.2767915415
426	0.2766738679
427	0.2765286605
428	0.2764184225
429	0.2763123828
430	0.2761808631
431	0.2759745666
432	0.2758530361
433	0.2756832051
434	0.2753794176
435	0.2749892989
436	0.2747227054
437	0.27453219
438	0.2743488377
439	0.2743275637
440	0.2742227092
441	0.2739229902
442	0.2737511987
443	0.2734773446
444	0.2733345471
445	0.2730832378
446	0.2728365564
447	0.2725590364
448	0.2723285339
449	0.2721985213
450	0.2720482215
451	0.2718903154
452	0.2718167367
453	0.2716777324
454	0.2715916042
455	0.2715045717
456456	0.2740904457	457	0.2738236458	458	0.2735833459	459	0.2733937460	460	0.2733292461	461	0.2732618462	462	0.2730649463	463	0.2729059464464	0.27276084465465	0.27251815466466	0.27219919467467	0.27202658468468	0.27185015469469	0.27178731470470	0.27151535471471	0.27144487472472	0.27120708473473	0.27103086474474	0.2707912184
475	0.2705074645
476	0.270392475
477	0.2702202846
478	0.2701517637
479	0.2699918019
480	0.2696284949
481	0.2694560904
482	0.2693372178
483	0.2692745742
484	0.2691960189
485	0.2689946869
486	0.2688114672
487	0.2686718625
488	0.2683610212
489	0.26825918149490	0.26812428249491	0.26804432492492	0.26780941493493	0.26751838494494	0.26742760495495	0.26733633496496	0.26728498497497	0.26725642498498	0.2669989597
499	0.2667011863
500	0.2665579288
501	0.2663177781
502	0.26594084503503	0.26592180504504	0.26588521505	0.2633712419
506	0.2632151528
507	0.2628723404
508	0.2626612966
509	0.26256591
510	510	0.2648480511	511	0.2647650512	512	0.2645859513	513	0.2643978514	514	0.2642734515	515	0.2640015516	0.2615394286
517	0.2613022366
518	0.2611044234
519	519	0.2632980520	520	0.2631970521	521	0.2630166522	522	0.2628212523523	0.26260804524524	0.26248436525	0.2603817366
52526	0.262252596527	0.26006184
528	0.2598961949
529	0.2596822991
530	530	0.2616739531	531	0.2615440532	532	0.2614424533	533	0.2612785534	0.2587470446
535	0.2585415049
536	0.2582249547
537	0.2580028474
538	0.2578491837
539	0.2577058952
540	0.2574403102
541	0.2572086927
542	0.2570464354
543	0.2568398259
544	0.256760893
545	0.2567189831
546	0.2566026461
547	0.2564755734
548	0.2563509531
549	0.2562361733
550	0.2561124981
551	0.255842587
552	0.2556769992
553	0.255424937
554	0.2552798563
555	0.2552219868
556	0.2551346274
557	0.2549526567
558	0.2548407657
559	0.2547119761
560	0.2545315866
561	0.2544243017
562	0.2543708997
563	0.2541723059
564	0.2540837645
565	0.2539641221
566	0.2538473587
567	0.253475387
568	0.2534044533
569	0.2532808751
570	0.2532504745
571	0.2531625825
572	0.2530413629
573	0.2528587871
574	0.252772871
575	0.2527035405
576	0.2526269028
577	0.2525303844
578	0.2524073292
579	0.2522760308
580	0.252198044
581	0.2519382244
582	0.2516670488
583	0.2515049409
584	0.2514049741
585	0.2512176895
586	0.2511335856
587	0.2510211123
588	0.2508953989
589	0.2507519294
590	0.2506213653
591	0.2504327414
592	0.2503188781
593	0.2501875374
594	0.2500555953
595	0.2499543842
596	0.249684471
597	0.2496470906
598	0.2495088948
599	0.2494789694
600	0.249344433
601	0.2492406613
602	0.2489590465
603	0.603	0.25018604	0.248448795
605	0.248301877
606	0.2606	0.2497607	0.2607	0.2495608	0.2608	0.2494609	0.2609	0.2493610	0.2610	0.2491611	0.2471367436
612	0.2469992909
613	0.2468150837
614	0.2466859835
615	0.2464922597
616	0.2463524392
617	0.2462546217
618	0.2461549058
619	0.245835151
620	0.2456704601
621	0.2456385215
622	0.2455177374
623	0.2453364549
624	0.2451587992
625	0.2449522376
626	0.2448519929
627	0.244681475
628	0.2445830881
629	0.2443188416
630	0.2442269462
631	0.2439172812
632	0.2438181187
633	0.2437441377
634	0.2435721404
635	0.2434420665
636	0.2433023134
637	0.2432649193
638	0.2431372171
639	0.243084798
640	0.2429603677
641	0.2427913437
642	0.642	0.24461643	0.643	0.24450644	0.644	0.24440645	0.645	0.24427646	0.646	0.24414647	0.647	0.24401648	0.648	0.24372649	0.649	0.24354650	0.650	0.2434581368
651	0.2432652	0.2652	0.2431653	0.2653	0.2430654	0.2654	0.2425655	0.2655	0.2423644999
656	0.2421851685
657	0.241994472
658	0.241850737
659	0.2417476833
660	0.2416595152
661	0.24146691
662	0.241241697
663	0.2410982835
664	0.2410600661
665	0.2409437288
666	0.2408535238
667	0.2406660118
668	0.2404895126
669	0.2403843435
670	0.2401985973
671	0.2400586006
672	0.2399412031
673	0.2398193137
674	0.2397074538
675	0.2396206593
676	0.2395206217
677	0.2393288408
678	0.2391742538
679	0.239015644
680	0.238807722
681	0.2387170737
682	0.2386065156
683	0.2384622977
684	0.2381992492
685	0.2379733856
686	0.2377201035
687	0.2375168131
688	0.2372487519
689	0.2370515542
690	0.2367459319
691	0.2366547554
692	0.236332306
693	0.236194351
694	0.2359586996
695	0.2358238289
696	0.2356523211
697	0.235397697
698	0.2352392353
699	0.2350356231
700	0.2349106583
701	0.2346676751
702	0.2345263614
703	0.2344035333
704	0.2341280167
705	0.233895706	0706	0.233691707	0707	0.233533708	0708	0.233390709	0709	0.233189710	0710	0.233092711	0711	0.232805712	0712	0.232519713	0713	0.232417714	0714	0.232261715	0715	0.232137716	0.230763346
717	0.2305568636
718	0.718	0.2316719	0.2719	0.2314720	0.2720	0.2312721	0.2721	0.2310722	0.2722	0.2308723	0.2295577408
724	0.2294667985
725	0.2292773667
726	0.2290501657
727	0.2289480915
728	0.2287258472
729	0.2286377534
730	0.2284394661
731	0.2282122585
732	0.2280193946
733	0.227867397
734	0.2277675946
735	0.2274720447
736	0.2273597519
737	0.2272733181
738	0.2271033155
739	0.2268981866
740	0.2267023808
741	0.2264775665
742	0.226184773
743	0.2260707594
744	0.2259193935
745	0.2257417568
746	0.2255754564
747	0.2254138472
748	0.2252662467
749	0.2250507013
750	0.2248834952
751	0.224621498
752	0.2243413054
753	0.2242445325
754	0.2241106979
755	0.2239733541
756	0.2238683196
757	0.2235742114
758	0.22345845847759	0.22334932177760	0.22312773387761	0.22289890057762	0.22277555017763	0.22274098457764	0.22262532277765	0.22252909917766	0.22238465397767	0.22211988487768	0.22194272857769	0.22188526687770	0.22179614177771	0.22171763397772	0.22146785637773	0.22129705137774	0.22107841427775	0.22084323567776	0.22064058917777	0.22054581767778	0.220462105
779	0.22034412278780	0.2201999401
781	0.21998852578782	0.2197021578
783	0.2195707451
784	0.21947603785785	0.2193341786786	0.21916364787787	0.21887318788788	0.21866637789789	0.21842527790790	0.21835102791791	0.21821485792792	0.218105647793	0.21796546327794	0.21784128257795	0.21775376517796	0.2175776585797	0.2195890015
798	0.2194985608
7799	0.21715737698800	0.21691439448801	0.21669489448802	0.21649351198803	0.21635930580804	0.21614037980805	0.2159809811
806	0.2158474274
807	0.2157238574
808	0.2155146916
809	0.2154012027
810	0.2152019813
811	0.2151399633
812	0.21503196813813	0.21488007814814	0.21469501815815	0.2144553198
816	0.2143254079
817	0.2142007189
818	0.2141107948
819	0.2140075056
820	0.2139435538
821	0.2138816198
822	0.2137017388
823	0.2135842571
824	0.213438568
825	0.2132989705
826	0.2132166564
827	0.2131182127
828	0.2128278783
829	0.2126796661
830	0.2125411585
831	0.212366832	0832	0.212093833	833	0.2117892834	834	0.21166835	0.835	0.21126836	0.836	0.21109837	0.837	0.21094838	0.838	0.21081839	0.839	0.21057840	0.840	0.2104621315
841	0.2103637528
842	0.2102251496
843	0.2101322689
844	0.2099800405
845	0.2098223684
846	0.2096808182
847	0.2095331938
848	0.2094242743
849	0.20850	0.211850	0.20851	0.211851	0.20852	0.21852	0.2090442537
853	0.2089325923
854	0.2088245366
855	0.2088088956
856	0.2086575239
857	0.2084147627
858	0.208859	0.21859	0.208860	0.21860	0.208861	0.21861	0.207862	0.21862	0.207863	0.21863	0.207864	0.21864	0.207865	0.21865	0.207866	0.20866	0.207867	0.20867	0.206868	0.20868	0.206869	0.20869	0.206870	0.20870	0.206871	0.20871	0.2064151425
872	0.206873	0.20873	0.2062394426
874	0.2060390735
875	0.2060097335
876	0.2058610733
877	0.205669243
878	0.205572834
879	0.2054324621
880	0.2053140476
881	0.2051544273
882	0.2049840558
883	0.2048736791
884	0.2047802429
885	0.2047230474
886	0.2044711543
887	0.2043702906
888	0.2041965063
889	0.2039929156
890	0.2038217041
891	0.2037492235
892	0.2036493593
893	0.2035087481
894	0.2034019289
895	0.2032252571
896	0.2031368923
897	0.2029490568
898	0.202769987
899	0.2026665222
900	0.2025417695
901	0.2024477803
902	0.2022198082
903	0.2020177709
904	0.2019180894
905	0.2018079428
906	0.2016114266
907	0.2013816158
908	0.2012456733
909	0.2011476134
910	0.2009931428
911	0.2009059972
912	0.2006815556
913	0.2005599024
914	0.2003813057
915	0.2002315339
916	0.2001415212
917	0.1999613646
918	0.199863432
919	0.1997077625
920	0.1995720923
921	0.1994105611
922	0.1992585342
923	0.1991358112
924	0.1990037575
925	0.1988543324
926	0.1986098226
927	0.1985008709
928	0.1983846311
929	0.1982724648
930	0.1982002105
931	0.1980924025
932	0.1979602663
933	0.1978282037
934	0.1977088154
935	0.1976107292
936	0.1974730385
937	0.1973364389
938	0.1971775358
939	0.1971034797
940	0.1970174199
941	0.1968905206
942	0.1967546957
943	0.1966291891
944	0.1964877896
945	0.1963613192
946	0.1962492465
947	0.1960832757
948	0.195983685
949	0.1957911301
950	0.195646365
951	0.1955898427
952	0.1953541201
953	0.1952160457
954	0.1951192154
955	0.1950069614
956	0.1949156269
957	0.1948207316
958	0.1947169188
959	0.1945567862
960	0.1943957043
961	0.194324703
962	0.1942054389
963	0.1941271709
964	0.1940165257
965	0.193880728
966	0.1937990456
967	0.1937534922
968	0.1936030338
969	0.1935897203
970	0.1934840111
971	0.1934097586
972	0.193387691
973	0.1932886432
974	0.1931503922
975	0.1930334887
976	0.1928968083
977	0.192741329
978	0.1926346819
979	0.1925183482
980	0.1923620527
981	0.1922791483
982	0.1921240386
983	0.1920414698
984	0.1918439408
985	0.1917542464
986	0.191607906
987	0.191401311
988	0.1912061554
989	0.1911457023
990	0.1910189129
991	0.1909381527
992	0.1907868989
993	0.1906795965
994	0.1905764425
995	0.1902683516
996	0.1900631135
997	0.1899636917
998	0.1898056873
999	0.1896749553
6144
