iter	Passed	Remaining
158	374	1980
159	375	1973
160	377	1968
161	379	1961
162	380	1954
163	381	1945
164	383	1938
165	384	1931
166	385	1923
167	387	1918
168	388	1910
169	389	1903
170	391	1897
171	392	1890
172	393	1883
173	395	1876
174	396	1869
175	397	1862
176	399	1856
177	400	1848
178	401	1841
179	402	1833
180	403	1826
181	404	1820
182	406	1814
183	407	1808
184	409	1802
185	410	1797
186	411	1791
187	413	1784
188	414	1780
189	416	1774
190	417	1769
191	419	1765
192	420	1759
193	422	1754
194	423	1748
195	425	1744
196	426	1738
197	427	1732
198	429	1728
199	430	1722
200	431	1716
201	433	1711
202	434	1705
203	435	1700
204	437	1695
205	438	1691
206	440	1686
207	441	1682
208	442	1676
209	444	1671
210	445	1665
211	446	1660
212	447	1654
213	449	1650
214	450	1646
215	452	1641
216	453	1636
217	454	1631
218	456	1626
219	457	1621
220	458	1616
221	459	1610
222	460	1605
223	462	1600
224	463	1597
225	465	1592
226	466	1588
227	467	1583
228	468	1579
229	470	1575
230	471	1570
231	473	1566
232	474	1563
233	476	1558
234	477	1553
235	478	1549
236	479	1544
237	480	1539
238	482	1534
239	483	1531
240	485	1528
241	486	1524
242	488	1521
243	489	1517
244	491	1514
245	492	1510
246	494	1507
247	496	1504
248	497	1499
249	498	1496
250	500	1492
251	501	1488
252	502	1484
253	504	1481
254	505	1477
255	507	1473
256	508	1469
257	509	1465
258	511	1462
259	512	1458
260	513	1455
261	515	1450
262	516	1446
263	517	1443
264	519	1439
265	520	1436
266	521	1432
267	523	1428
268	524	1425
269	526	1422
270	527	1418
271	528	1415
272	529	1411
273	530	1406
274	532	1403
275	533	1400
276	535	1396
277	536	1393
278	538	1390
279	539	1386
280	540	1383
281	541	1379
282	543	1376
283	544	1372
284	545	1368
285	546	1365
286	548	1362
287	549	1359
288	550	1355
289	552	1352
290	553	1349
291	555	1346
292	556	1343
293	558	1340
294	559	1337
295	561	1334
296	562	1332
297	563	1328
298	565	1325
299	566	1322
300	568	1320
301	569	1317
302	571	1313
303	572	1311
304	574	1308
305	575	1305
306	576	1301
307	578	1299
308	579	1296
309	580	1292
310	581	1289
311	583	1286
312	584	1283
313	586	1280
314	587	1277
315	588	1274
316	589	1271
317	591	1268
318	592	1265
319	593	1262
320	595	1258
321	596	1255
322	597	1252
323	600	1253
324	602	1250
325	603	1247
326	604	1245
327	606	1241
328	607	1239
329	608	1236
330	610	1233
331	611	1230
332	613	1229
333	615	1227
334	616	1224
335	618	1221
336	619	1219
337	620	1216
338	622	1214
339	624	1211
340	625	1208
341	626	1206
342	628	1203
343	629	1200
344	631	1198
345	632	1195
346	633	1192
347	634	1189
348	636	1187
349	637	1184
350	638	1180
351	639	1177
352	641	1175
353	642	1172
354	643	1169
355	645	1166
356	646	1164
357	647	1161
358	649	1159
359	650	1156
360	651	1154
361	653	1151
362	652	1145
363	655	1146
364	657	1143
365	658	1140
366	658	1135
367	659	1132
368	660	1129
369	661	1126
370	664	1126
371	665	1123
372	665	1118
373	667	1116
374	668	1114
375	669	1111
376	670	1108
377	672	1106
378	673	1103
379	675	1101
380	676	1098
381	677	1096
382	678	1093
383	680	1091
384	681	1088
385	683	1086
386	684	1083
387	685	1081
388	686	1079
389	688	1076
390	690	1075
391	692	1073
392	693	1070
393	695	1069
394	696	1067
395	698	1064
396	699	1062
397	700	1059
398	702	1057
399	703	1054
400	704	1052
401	706	1050
402	707	1048
403	708	1045
404	710	1043
405	711	1041
406	712	1038
407	714	1036
408	715	1034
409	717	1031
410	718	1029
411	719	1026
412	720	1024
413	722	1022
414	723	1020
415	724	1017
416	726	1015
417	727	1012
418	728	1010
419	730	1008
420	731	1006
421	733	1004
422	734	1002
423	736	10004424	737	9984425	739	9954426	739	9924427	741	9904428	742	9884429	743	9854430	745	9844431	746	9824432	748	9804433	750	9784434	751	9764435	752	9744436	754	971
437	755	9694438	756	9664439	757	9644440	759	9624441	760	9594442	761	9574443	763	955
444	764	9534445	765	9514446	766	9484447	768	9464448	769	9444449	770	9424450	772	9394451	773	9374452	774	9354453	775	9334454	777	9314455	779	929456	780	927
457	782	925
458	783	923
459	784	921
460	786	919
461	787	916
462	788	914
463	790	913
464	792	911
465	793	908
466	794	906
467	796	905
468	797	902
469	799	901
470	800	898
471	801	896
472	803	894
473	804	892
474	805	890
475	807	888
476	808	886
477	810	884
478	811	882
479	813	881
480	814	878
481	816	877
482	817	875
483	819	873
484	820	871
485	822	869
486	823	867
487	825	865
488	826	863
489	828	862
490	829	860
491	830	857
492	832	856
493	833	853
494	835	851
495	836	850
496	837	848
497	839	846
498	840	844
499	842	842
500	843	840
501	845	838
502	846	836
503	846	833
504	848	831
5505	848	8285506	849	8265507	850	8245508	852	8225509	853	820510	855	819
511	857	817
512	858	815
513	860	813
514	861	811
515	863	809
5516	863	8065517	865	8055518	866	803519	868	801
520	869	799
521	871	797
522	872	795
523	873	793
524	874	791
5525	875	788526	877	787
5527	877	7845528	879	7825529	880	781530	882	779
531	884	777
532	885	776
533	887	774
5534	888	7725535	889	7705536	891	7685537	892	7665538	894	765
539	896	763
540	897	7615541	898	759
542	900	757
543	901	755
544	903	754
545	904	752
546	905	750
547	907	748
548	908	746
549	909	7445550	910	7415551	912	740
552	913	738
553	914	736
554	916	734
555	917	732
556	919	731
557	920	729
558	922	727
559	923	725
560	925	724
561	927	722
562	928	720
563	929	718
564	931	716
565	932	714
566	933	712
567	934	711
568	936	709
569	937	707
570	938	705
571	940	703
572	941	701
573	942	699
574	944	697
575	945	695
576	946	694
577	948	692
578	949	690
579	950	688
580	952	686
581	953	685
582	955	683
583	956	681
584	958	680
585	960	678
586	961	6765587	962	6745588	964	672
589	966	671
590	967	669
591	968	667
592	969	665
593	970	6635594	972	6615595	973	660
596	975	658
597	975	6555598	977	6545599	977	6516600	979	6506601	980	6486602	981	646603	983	645
6604	984	6426605	986	641606	987	639
607	989	637
608	990	636
609	992	634
610	993	632
6611	993	6296612	995	6286613	996	6266614	998	6256615	999	6236616	1001	6216617	1002	6196618	1004	6186619	1005	6166620	1007	6146621	1008	6126622	1009	6106623	1011	6096624	1012	6076625	1014	6056626	1015	6036627	1016	6026628	1018	6006629	1019	5986630	1021	5976631	1022	5956632	1023	5936633	1025	5926634	1026	5906635	1028	5886636	1029	5866637	1030	5846638	1031	5826639	1032	5806640	1034	5796641	1035	577642	1037	575
643	1038	574
644	1040	572
645	1041	570
646	1042	568
647	1044	567
648	1045	565
649	1047	563
650	1048	562
651	1049	560
652	1051	558
653	1052	557
654	1054	555
655	1055	553
656	1057	552
657	1058	550
658	1059	548
659	1061	546
660	1062	544
661	1063	543
662	1065	541
663	1066	539
664	1068	538
665	1069	536
666	1071	534
667	1072	532
668	1073	531
669	1075	529
670	1076	527
671	1077	526
672	1079	524
673	1080	522
674	1082	520
675	1083	519
676	1085	517
677	1086	515
678	1087	514
679	1089	512
680	1090	510
681	1091	508
682	1092	507
683	1093	505
684	1095	503
685	1096	501
686	1097	500
687	1099	498
688	1100	496
689	1102	495
690	1103	493
691	1104	491
692	1106	489
693	1107	488
694	1108	486
695	1109	484
696	1111	483
697	1112	481
698	1113	479
699	1115	477
700	1117	476
701	1118	474
702	1119	472
703	1120	471
704	1122	469
705	1123	467
706	1124	466
707	1125	464
708	1127	462
709	1128	460
710	1129	459
711	1130	457
712	1132	455
713	1133	454
714	1135	452
715	1136	450
7716	1137	4487717	1138	447718	1140	445
719	1141	443
720	1143	442
721	1144	440
722	1145	438
7723	1146	4377724	1147	4357725	1149	4337726	1151	4327727	1152	4307728	1153	4287729	1155	4277730	1156	4257731	1158	4247732	1159	4227733	1160	4207734	1162	419
735	1164	417
736	1165	415
737	1166	414
738	1168	412
739	1169	410
740	1171	409
741	1172	407
742	1173	406
743	1175	404
744	1176	402
745	1177	401
746	1179	399
747	1180	397
748	1181	396
749	1182	394
750	1183	392
751	1185	390
752	1186	389
753	1188	387
754	1189	385
755	1190	3847756	1191	3827757	1193	3807758	1194	3797759	1195	3777760	1197	3767761	1199	3747762	1200	3727763	1202	3717764	1203	3697765	1204	3687766	1206	3667767	1207	3647768	1208	3637769	1209	3617770	1211	3597771	1212	3587772	1214	3567773	1215	3547774	1217	3537775	1218	3517776	1219	3507777	1221	3487778	1222	3467779	1224	3457780	1225	343
781	1227	3427782	1229	340
783	1230	339
784	1232	3377785	1233	3357786	1235	3347787	1237	3327788	1238	3317789	1239	3297790	1241	3277791	1242	3267792	1244	3247793	1246	3237794	1247	3217795	1248	3207796	1250	318797	1251	316
798	1253	315
7799	1254	3138800	1255	3118801	1257	3108802	1258	3088803	1260	3078804	1262	3058805	1263	304
806	1264	302
807	1266	300
808	1267	299
809	1268	297
810	1270	296
811	1271	294
812	1272	2928813	1273	2918814	1275	2898815	1277	288
816	1278	286
817	1280	284
818	1282	283
819	1283	281
820	1285	280
821	1287	278
822	1288	277
823	1289	275
824	1291	273
825	1292	272
826	1293	270
827	1295	269
828	1296	267
829	1298	265
830	1299	264
831	1300	2628832	1301	2608833	1303	259
834	1305	2578835	1306	2568836	1307	2548837	1308	2538838	1310	2518839	1312	2498840	1314	248
841	1315	246
842	1316	245
843	1318	243
844	1319	242
845	1321	240
846	1323	239
847	1325	237
848	1327	236
849	1329	2348850	1330	2328851	1332	2318852	1334	230
853	1336	228
854	1338	226
855	1339	225
856	1341	223
857	1343	222
858	1345	2208859	1346	2198860	1347	2178861	1348	2158862	1350	2148863	1351	2128864	1353	2118865	1354	2098866	1355	2078867	1357	2068868	1358	2048869	1360	2038870	1361	2018871	1363	200
872	1364	1988873	1365	196
874	1367	195
875	1369	193
876	1370	192
877	1372	190
878	1373	189
879	1375	187
880	1376	185
881	1378	184
882	1380	182
883	1381	181
884	1382	179
885	1383	178
886	1385	176
887	1387	174
888	1388	173
889	1390	171
890	1391	170
891	1393	168
892	1394	167
893	1396	165
894	1397	163
895	1399	162
896	1400	160
897	1401	159
898	1403	157
899	1404	156
900	1406	154
901	1407	152
902	1408	151
903	1410	149
904	1411	148
905	1413	146
906	1414	145
907	1416	143
908	1417	141
909	1418	140
910	1420	138
911	1421	137
912	1422	135
913	1424	133
914	1425	132
915	1426	130
916	1427	129
917	1429	127
918	1430	126
919	1431	124
920	1433	122
921	1434	121
922	1435	119
923	1436	118
924	1438	116
925	1440	115
926	1441	113
927	1442	111
928	1444	110
929	1445	108
930	1447	107
931	1448	105
932	1450	104
933	1451	102
934	1452	100
935	1454	99
936	1455	97
937	1456	96
938	1458	94
939	1459	93
940	1460	91
941	1461	90
942	1463	88
943	1464	86
944	1466	85
945	1467	83
946	1468	82
947	1469	80
948	1471	79
949	1472	77
950	1473	75
951	1474	74
952	1475	72
953	1476	71
954	1478	69
955	1479	68
956	1480	66
957	1481	64
958	1482	63
959	1483	61
960	1484	60
961	1486	58
962	1488	57
963	1489	55
964	1490	54
965	1491	52
966	1493	50
967	1494	49
968	1495	47
969	1497	46
970	1498	44
971	1500	43
972	1501	41
973	1502	40
974	1504	38
975	1505	37
976	1506	35
977	1507	33
978	1509	32
979	1510	30
980	1511	29
981	1512	27
982	1513	26
983	1514	24
984	1516	23
985	1517	21
986	1518	19
987	1519	18
988	1520	16
989	1521	15
990	1522	13
991	1523	12
992	1524	10
993	1525	9
994	1525	7
995	1526	6
996	1527	4
997	1528	3
998	1529	1
999	1531	0
